日期,类型,金额,币种,一级分类,二级分类,商户,支付方式,备注,原始识别文本
2026-09-01,支出,28.00,CNY,餐饮,午餐,兰州牛肉面,微信支付,牛肉面,中午吃牛肉面 28 元，微信支付
2026-09-02,支出,6.50,CNY,交通,地铁公交,,交通卡,地铁通勤,地铁 6.5 元
2026-09-03,支出,89.90,CNY,购物,超市买菜,盒马,支付宝,晚餐食材,超市买菜 89.9 元，支付宝
2026-09-04,收入,12000.00,CNY,收入,工资,公司,银行卡,九月工资,九月工资到账 12000 元
2026-09-05,支出,35.00,CNY,餐饮,咖啡饮料,Seesaw,微信支付,咖啡,下午买咖啡 35 元
2026-09-06,支出,128.00,CNY,娱乐,,万达影院,支付宝,电影票,看电影 128 元
2026-09-08,支出,42.80,CNY,交通,打车,滴滴,微信支付,去公司,打车去公司 42.8 元
2026-09-09,支出,19.90,CNY,居家,日用品,京东,银行卡,清洁用品,买清洁用品 19.9 元
2026-09-10,支出,268.00,CNY,医疗,,社区诊所,微信支付,门诊,看门诊 268 元
2026-09-12,支出,76.00,CNY,人情,,鲜花店,微信支付,朋友生日,给朋友买花 76 元
2026-09-14,支出,58.00,CNY,餐饮,晚餐,川味小馆,支付宝,周末聚餐,周末吃饭 58 元
2026-09-15,支出,499.00,CNY,购物,数码,京东,银行卡,键盘,买机械键盘 499 元
2026-09-17,支出,15.00,CNY,餐饮,零食水果,,现金,水果,买水果 15 元
2026-09-19,收入,320.00,CNY,收入,兼职,线上平台,支付宝,设计兼职,兼职收入 320 元
2026-09-21,支出,23.50,CNY,餐饮,早餐,小区早餐店,现金,早餐,"早餐和豆浆，合计 23.5 元"
2026-09-23,支出,1580.00,CNY,居家,,家具城,银行卡,书桌,"买书桌，含配送费，合计 1580 元"
2026-09-25,支出,9.90,CNY,其它,,,微信支付,待确认,这是一笔需要复核的 9.9 元支出
2026-09-28,支出,66.00,CNY,餐饮,晚餐,日常餐厅,微信支付,晚餐,晚餐 66 元
2026-09-30,支出,36.50,CNY,交通,打车,滴滴,支付宝,回家,回家打车 36.5 元
